timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
0,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
1,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
2,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
3,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
4,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
5,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
6,bigdata_main,26,0,0,26,0,0,0,0,0,0,624,624,0,NA
7,bigdata_main,26,0,0,26,0,0,2,0,0,0,624,624,0,NA
8,bigdata_main,26,0,0,26,0,0,2,0,0,0,624,624,0,NA
9,bigdata_main,26,0,0,26,0,0,2,0,0,0,624,624,0,NA
10,bigdata_main,26,0,0,26,0,0,4,0,0,0,624,624,0,NA
11,bigdata_main,26,0,0,26,0,0,4,0,0,0,624,624,0,NA
12,bigdata_main,26,0,0,26,1,0,2,2,0,0,624,624,4,NA
13,bigdata_main,26,0,0,26,1,0,2,2,0,0,624,624,4,NA
14,bigdata_main,26,0,0,26,1,0,4,2,0,0,624,624,4,NA
15,bigdata_main,26,0,0,26,1,0,2,4,0,0,624,624,8,NA
16,bigdata_main,26,0,0,26,1,0,2,4,0,0,624,624,8,NA
17,bigdata_main,26,0,0,26,1,0,2,4,0,0,624,624,8,NA
18,bigdata_main,26,0,0,26,1,0,2,4,0,0,624,624,8,NA
19,bigdata_main,26,0,0,26,1,0,8,6,0,0,624,624,12,NA
20,bigdata_main,26,0,0,26,1,0,13,6,0,0,624,624,12,NA
21,bigdata_main,26,0,0,26,1,0,13,6,0,0,624,624,12,NA
22,bigdata_main,26,0,0,26,1,0,23,6,0,0,624,624,12,NA
23,bigdata_main,26,0,0,26,1,0,23,6,0,0,624,624,12,NA
24,bigdata_main,26,0,0,26,1,0,23,6,0,0,624,624,12,NA
25,bigdata_main,26,0,0,26,2,0,16,13,0,0,624,624,26,NA
26,bigdata_main,26,0,0,26,2,0,15,14,0,0,624,624,28,NA
27,bigdata_main,26,0,0,26,2,0,10,19,0,0,624,624,38,NA
28,bigdata_main,26,0,0,26,2,0,10,19,0,0,624,624,38,NA
29,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
30,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
31,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
32,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
33,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
34,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
35,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
36,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
37,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
38,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
39,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
40,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
41,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
42,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
43,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
44,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
45,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
46,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
47,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
48,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
49,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
50,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
51,bigdata_main,26,0,0,26,3,0,0,29,0,0,624,624,58,NA
52,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
53,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
54,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
55,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
56,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
57,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
58,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
59,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
60,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
61,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
62,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
63,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
64,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
65,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
66,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
67,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
68,bigdata_main,26,0,0,26,3,0,1,29,0,0,624,624,58,NA
