trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,12,199,2,27_1,sim,0,12,211,211,199,bigdata_main_node_01
trace,12,199,2,27_2,sim,0,12,211,211,199,bigdata_main_node_01
trace,29,182,2,77_1,sim,0,29,211,211,182,bigdata_main_node_02
trace,29,182,2,77_2,sim,0,29,211,211,182,bigdata_main_node_02
trace,29,283,2,93_1,sim,0,29,312,312,283,bigdata_main_node_02
trace,29,283,2,93_2,sim,0,29,312,312,283,bigdata_main_node_02
trace,25,300,2,58_1,sim,0,25,325,325,300,bigdata_main_node_01
trace,25,301,2,58_2,sim,0,25,326,326,301,bigdata_main_node_01
trace,25,303,2,53_2,sim,0,25,328,328,303,bigdata_main_node_01
trace,25,304,2,53_1,sim,0,25,329,329,304,bigdata_main_node_01
trace,25,319,2,61_1,sim,0,25,344,344,319,bigdata_main_node_02
trace,26,318,2,61_2,sim,0,26,344,344,318,bigdata_main_node_02
trace,25,331,2,56_1,sim,0,25,356,356,331,bigdata_main_node_01
trace,25,331,2,56_2,sim,0,25,356,356,331,bigdata_main_node_01
trace,27,348,2,64_1,sim,0,27,375,375,348,bigdata_main_node_02
trace,29,354,2,98_1,sim,0,29,383,383,354,bigdata_main_node_02
trace,29,354,2,98_2,sim,0,29,383,383,354,bigdata_main_node_03
trace,130,283,2,407_1,sim,0,130,413,413,283,bigdata_main_node_05
trace,248,193,2,1009_2,sim,0,248,441,441,193,bigdata_main_node_01
trace,249,195,2,1009_1,sim,0,249,444,444,195,bigdata_main_node_01
trace,19,428,2,49_1,sim,0,19,447,447,428,bigdata_main_node_01
trace,19,428,2,49_2,sim,0,19,447,447,428,bigdata_main_node_01
trace,27,423,2,66_1,sim,0,27,450,450,423,bigdata_main_node_02
trace,29,447,2,101_1,sim,0,29,476,476,447,bigdata_main_node_03
trace,29,447,2,101_2,sim,0,29,476,476,447,bigdata_main_node_03
trace,95,410,2,168_1,sim,0,95,505,505,410,bigdata_main_node_03
trace,95,410,2,168_2,sim,0,95,505,505,410,bigdata_main_node_03
trace,15,491,2,47_1,sim,0,15,506,506,491,bigdata_main_node_01
trace,15,491,2,47_2,sim,0,15,506,506,491,bigdata_main_node_01
trace,274,277,2,1031_2,sim,0,274,551,551,277,bigdata_main_node_02
trace,274,278,2,1031_1,sim,0,274,552,552,278,bigdata_main_node_02
trace,95,462,2,171_1,sim,0,95,557,557,462,bigdata_main_node_03
trace,103,454,2,176_1,sim,0,103,557,557,454,bigdata_main_node_04
trace,103,454,2,176_2,sim,0,103,557,557,454,bigdata_main_node_04
trace,95,463,2,171_2,sim,0,95,558,558,463,bigdata_main_node_03
trace,29,548,2,103_1,sim,0,29,577,577,548,bigdata_main_node_03
trace,29,548,2,103_2,sim,0,29,577,577,548,bigdata_main_node_03
trace,105,502,2,184_1,sim,0,105,607,607,502,bigdata_main_node_04
trace,98,511,2,179_1,sim,0,98,609,609,511,bigdata_main_node_04
trace,27,585,2,69_1,sim,0,27,612,612,585,bigdata_main_node_02
trace,95,517,2,173_1,sim,0,95,612,612,517,bigdata_main_node_04
trace,95,517,2,173_2,sim,0,95,612,612,517,bigdata_main_node_04
trace,105,509,2,179_2,sim,0,105,614,614,509,bigdata_main_node_04
trace,88,540,2,165_1,sim,0,88,628,628,540,bigdata_main_node_03
trace,88,540,2,165_2,sim,0,88,628,628,540,bigdata_main_node_03
trace,402,233,2,1207_2,sim,0,402,635,635,233,bigdata_main_node_01
trace,402,234,2,1207_1,sim,0,402,636,636,234,bigdata_main_node_03
trace,105,534,2,187_1,sim,0,105,639,639,534,bigdata_main_node_04
trace,285,367,2,1046_1,sim,0,285,652,652,367,bigdata_main_node_05
trace,294,365,2,1054_2,sim,0,294,659,659,365,bigdata_main_node_05
trace,298,367,2,1054_1,sim,0,298,665,665,367,bigdata_main_node_06
trace,130,554,2,409_1,sim,0,130,684,684,554,bigdata_main_node_05
trace,130,561,2,417_1,sim,0,130,691,691,561,bigdata_main_node_05
trace,105,587,2,181_1,sim,0,105,692,692,587,bigdata_main_node_04
trace,105,589,2,181_2,sim,0,105,694,694,589,bigdata_main_node_04
trace,130,573,2,412_1,sim,0,130,703,703,573,bigdata_main_node_05
trace,524,190,2,1375_1,sim,0,524,714,714,190,bigdata_main_node_01
trace,529,190,2,1375_2,sim,0,529,719,719,190,bigdata_main_node_01
trace,105,631,2,189_1,sim,0,105,736,736,631,bigdata_main_node_04
trace,325,422,2,1078_2,sim,0,325,747,747,422,bigdata_main_node_01
trace,326,424,2,1078_1,sim,0,326,750,750,424,bigdata_main_node_01
trace,130,631,2,415_1,sim,0,130,761,761,631,bigdata_main_node_05
trace,482,293,2,1267_1,sim,0,482,775,775,293,bigdata_main_node_05
trace,27,749,2,72_1,sim,0,27,776,776,749,bigdata_main_node_02
trace,482,296,2,1267_2,sim,0,482,778,778,296,bigdata_main_node_03
trace,27,766,2,74_1,sim,0,27,793,793,766,bigdata_main_node_02
trace,330,499,2,1082_3,sim,0,330,829,829,499,bigdata_main_node_02
trace,329,502,2,1082_1,sim,0,329,831,831,502,bigdata_main_node_01
trace,330,501,2,1082_2,sim,0,330,831,831,501,bigdata_main_node_01
trace,101,734,2,192_1,sim,0,101,835,835,734,bigdata_main_node_04
trace,293,599,2,1057_1,sim,0,293,892,892,599,bigdata_main_node_05
trace,106,824,2,195_1,sim,0,106,930,930,824,bigdata_main_node_05
trace,283,655,2,1049_1,sim,0,283,938,938,655,bigdata_main_node_05
trace,106,850,2,197_1,sim,0,106,956,956,850,bigdata_main_node_05
trace,512,456,2,1325_1,sim,0,512,968,968,456,bigdata_main_node_03
trace,512,456,2,1325_2,sim,0,512,968,968,456,bigdata_main_node_03
trace,642,363,2,1530_1,sim,0,642,1005,1005,363,bigdata_main_node_02
trace,706,312,2,1577_1,sim,0,706,1018,1018,312,bigdata_main_node_05
trace,760,273,2,1636_1,sim,0,760,1033,1033,273,bigdata_main_node_03
trace,741,306,2,1609_1,sim,0,741,1047,1047,306,bigdata_main_node_01
trace,831,226,2,1668_4,sim,0,831,1057,1057,226,bigdata_main_node_02
trace,832,227,2,1673_1,sim,0,832,1059,1059,227,bigdata_main_node_03
trace,832,228,2,1668_1,sim,0,832,1060,1060,228,bigdata_main_node_01
trace,832,228,2,1668_2,sim,0,832,1060,1060,228,bigdata_main_node_01
trace,832,228,2,1668_3,sim,0,832,1060,1060,228,bigdata_main_node_03
trace,832,228,2,1673_3,sim,0,832,1060,1060,228,bigdata_main_node_03
trace,833,227,2,1673_2,sim,0,833,1060,1060,227,bigdata_main_node_03
trace,833,227,2,1673_4,sim,0,833,1060,1060,227,bigdata_main_node_06
trace,642,420,2,1532_1,sim,0,642,1062,1062,420,bigdata_main_node_02
trace,126,944,2,404_1,sim,0,126,1070,1070,944,bigdata_main_node_05
trace,752,326,2,1622_1,sim,0,752,1078,1078,326,bigdata_main_node_01
trace,850,232,2,1695_1,sim,0,850,1082,1082,232,bigdata_main_node_06
trace,779,312,2,1647_1,sim,0,779,1091,1091,312,bigdata_main_node_03
trace,519,579,2,1331_1,sim,0,519,1098,1098,579,bigdata_main_node_02
trace,519,580,2,1331_2,sim,0,519,1099,1099,580,bigdata_main_node_02
trace,519,603,2,1333_1,sim,0,519,1122,1122,603,bigdata_main_node_02
trace,519,604,2,1328_1,sim,0,519,1123,1123,604,bigdata_main_node_03
trace,519,604,2,1333_2,sim,0,519,1123,1123,604,bigdata_main_node_02
trace,642,511,2,1535_1,sim,0,642,1153,1153,511,bigdata_main_node_01
trace,754,406,2,1624_1,sim,0,754,1160,1160,406,bigdata_main_node_05
trace,643,533,2,1538_2,sim,0,643,1176,1176,533,bigdata_main_node_01
trace,642,536,2,1538_1,sim,0,642,1178,1178,536,bigdata_main_node_01
trace,753,456,2,1627_1,sim,0,753,1209,1209,456,bigdata_main_node_01
trace,643,580,2,1540_1,sim,0,643,1223,1223,580,bigdata_main_node_01
trace,643,580,2,1540_2,sim,0,643,1223,1223,580,bigdata_main_node_01
trace,664,589,2,1547_1,sim,0,664,1253,1253,589,bigdata_main_node_05
trace,664,589,2,1547_2,sim,0,664,1253,1253,589,bigdata_main_node_05
trace,519,756,2,1336_1,sim,0,519,1275,1275,756,bigdata_main_node_02
trace,519,757,2,1336_2,sim,0,519,1276,1276,757,bigdata_main_node_02
trace,753,540,2,1630_1,sim,0,753,1293,1293,540,bigdata_main_node_05
trace,1060,379,2,1957_2,sim,0,1060,1439,1439,379,bigdata_main_node_02
trace,1060,380,2,1957_1,sim,0,1060,1440,1440,380,bigdata_main_node_02
trace,1060,381,2,1957_3,sim,0,1060,1441,1441,381,bigdata_main_node_01
trace,1063,380,2,1957_4,sim,0,1063,1443,1443,380,bigdata_main_node_02
trace,1063,380,2,1959_1,sim,0,1063,1443,1443,380,bigdata_main_node_01
trace,1063,380,2,1959_2,sim,0,1063,1443,1443,380,bigdata_main_node_01
trace,1063,380,2,1959_3,sim,0,1063,1443,1443,380,bigdata_main_node_05
trace,1064,379,2,1973_3,sim,0,1064,1443,1443,379,bigdata_main_node_05
trace,1066,380,2,1962_2,sim,0,1066,1446,1446,380,bigdata_main_node_05
trace,1066,380,2,1975_2,sim,0,1066,1446,1446,380,bigdata_main_node_05
trace,1067,379,2,1962_3,sim,0,1067,1446,1446,379,bigdata_main_node_03
trace,1067,379,2,1962_4,sim,0,1067,1446,1446,379,bigdata_main_node_03
trace,1067,380,2,1962_1,sim,0,1067,1447,1447,380,bigdata_main_node_05
trace,1068,379,2,1959_4,sim,0,1068,1447,1447,379,bigdata_main_node_03
trace,1068,379,2,1965_1,sim,0,1068,1447,1447,379,bigdata_main_node_03
trace,1068,379,2,1965_3,sim,0,1068,1447,1447,379,bigdata_main_node_03
trace,1068,379,2,1965_4,sim,0,1068,1447,1447,379,bigdata_main_node_03
trace,1068,379,2,1967_1,sim,0,1068,1447,1447,379,bigdata_main_node_06
trace,1068,379,2,1967_2,sim,0,1068,1447,1447,379,bigdata_main_node_06
trace,1068,379,2,1967_3,sim,0,1068,1447,1447,379,bigdata_main_node_06
trace,1068,380,2,1965_2,sim,0,1068,1448,1448,380,bigdata_main_node_03
trace,1068,380,2,1967_4,sim,0,1068,1448,1448,380,bigdata_main_node_06
trace,1068,380,2,1970_1,sim,0,1068,1448,1448,380,bigdata_main_node_06
trace,1070,380,2,1970_2,sim,0,1070,1450,1450,380,bigdata_main_node_05
trace,1070,380,2,1970_3,sim,0,1070,1450,1450,380,bigdata_main_node_06
trace,1070,380,2,1970_4,sim,0,1070,1450,1450,380,bigdata_main_node_06
trace,1070,380,2,1973_1,sim,0,1070,1450,1450,380,bigdata_main_node_06
trace,1070,380,2,1973_2,sim,0,1070,1450,1450,380,bigdata_main_node_04
trace,1070,380,2,1975_1,sim,0,1070,1450,1450,380,bigdata_main_node_04
trace,1070,380,2,1981_2,sim,0,1070,1450,1450,380,bigdata_main_node_04
trace,1070,380,2,1981_3,sim,0,1070,1450,1450,380,bigdata_main_node_04
trace,1071,380,2,1973_4,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1975_3,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1975_4,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1978_1,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1978_2,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1978_3,sim,0,1071,1451,1451,380,bigdata_main_node_04
trace,1071,380,2,1978_4,sim,0,1071,1451,1451,380,bigdata_main_node_04
