timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
0,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
1,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
2,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
3,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
4,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
5,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
6,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
7,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
8,cloud50,20,0,0,20,0,0,1,0,0,0,480,480,0,NA
9,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
10,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
11,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
12,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
13,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
14,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
15,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
16,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
17,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
18,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
19,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
20,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
21,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
22,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
23,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
24,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
25,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
26,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
27,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
28,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
29,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
30,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
31,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
32,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
33,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
34,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
35,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
36,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
37,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
38,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
39,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
40,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
41,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
42,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
43,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
44,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
45,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
46,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
47,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
48,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
49,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
50,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
51,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
52,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
53,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
54,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
55,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
56,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
57,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
58,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
59,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
60,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
61,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
62,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
63,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
64,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
65,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
66,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
67,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
68,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
69,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
70,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
71,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
72,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
73,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
74,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
75,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
76,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
77,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
78,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
79,cloud50,20,0,0,20,1,0,0,1,0,0,480,480,8.0,NA
