timestamp,cluster,nodes_owned,nodes_borrowed,nodes_offered,nodes_cur_cap,nodes_inuse,nodes_indemand,jobs_waiting,jobs_running,jobs_done,jobs_rerun,cores_owned,cores_cur_cap,cores_inuse,cores_indemand
0,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
1,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
2,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
3,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
4,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
5,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
6,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
7,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
8,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
9,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
10,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
11,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
12,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
13,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
14,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
15,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
16,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
17,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
18,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
19,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
20,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
21,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
22,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
23,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
24,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
25,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
26,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
27,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
28,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
29,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
30,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
31,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
32,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
33,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
34,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
35,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
36,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
37,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
38,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
39,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
40,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
41,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
42,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
43,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
44,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
45,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
46,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
47,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
48,hpc_main,49,0,0,49,1,0,0,1,0,0,1176,1176,24,NA
