original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
12,199,2,27_1,0,12,2,211,199,2
12,199,2,27_2,0,12,2,211,199,2
29,182,2,77_1,0,29,2,211,182,2
29,182,2,77_2,0,29,2,211,182,2
29,283,2,93_1,0,29,2,312,283,2
29,283,2,93_2,0,29,2,312,283,2
25,300,2,58_1,0,25,2,325,300,2
25,301,2,58_2,0,25,2,326,301,2
25,303,2,53_2,0,25,2,328,303,2
25,304,2,53_1,0,25,2,329,304,2
25,319,2,61_1,0,25,2,344,319,2
26,318,2,61_2,0,26,2,344,318,2
25,331,2,56_1,0,25,2,356,331,2
25,331,2,56_2,0,25,2,356,331,2
27,348,2,64_1,0,27,2,375,348,2
29,354,2,98_1,0,29,2,383,354,2
29,354,2,98_2,0,29,2,383,354,2
130,283,2,407_1,0,130,2,413,283,2
248,193,2,1009_2,0,248,2,441,193,2
249,195,2,1009_1,0,249,2,444,195,2
19,428,2,49_1,0,19,2,447,428,2
19,428,2,49_2,0,19,2,447,428,2
27,423,2,66_1,0,27,2,450,423,2
29,447,2,101_1,0,29,2,476,447,2
29,447,2,101_2,0,29,2,476,447,2
95,410,2,168_1,0,95,2,505,410,2
95,410,2,168_2,0,95,2,505,410,2
15,491,2,47_1,0,15,2,506,491,2
15,491,2,47_2,0,15,2,506,491,2
274,277,2,1031_2,0,274,2,551,277,2
274,278,2,1031_1,0,274,2,552,278,2
95,462,2,171_1,0,95,2,557,462,2
103,454,2,176_1,0,103,2,557,454,2
103,454,2,176_2,0,103,2,557,454,2
95,463,2,171_2,0,95,2,558,463,2
29,548,2,103_1,0,29,2,577,548,2
29,548,2,103_2,0,29,2,577,548,2
105,502,2,184_1,0,105,2,607,502,2
98,511,2,179_1,0,98,2,609,511,2
27,585,2,69_1,0,27,2,612,585,2
95,517,2,173_1,0,95,2,612,517,2
95,517,2,173_2,0,95,2,612,517,2
105,509,2,179_2,0,105,2,614,509,2
88,540,2,165_1,0,88,2,628,540,2
88,540,2,165_2,0,88,2,628,540,2
402,233,2,1207_2,0,402,2,635,233,2
402,234,2,1207_1,0,402,2,636,234,2
105,534,2,187_1,0,105,2,639,534,2
285,367,2,1046_1,0,285,2,652,367,2
294,365,2,1054_2,0,294,2,659,365,2
298,367,2,1054_1,0,298,2,665,367,2
130,554,2,409_1,0,130,2,684,554,2
130,561,2,417_1,0,130,2,691,561,2
105,587,2,181_1,0,105,2,692,587,2
105,589,2,181_2,0,105,2,694,589,2
130,573,2,412_1,0,130,2,703,573,2
524,190,2,1375_1,0,524,2,714,190,2
529,190,2,1375_2,0,529,2,719,190,2
105,631,2,189_1,0,105,2,736,631,2
325,422,2,1078_2,0,325,2,747,422,2
326,424,2,1078_1,0,326,2,750,424,2
130,631,2,415_1,0,130,2,761,631,2
482,293,2,1267_1,0,482,2,775,293,2
27,749,2,72_1,0,27,2,776,749,2
482,296,2,1267_2,0,482,2,778,296,2
27,766,2,74_1,0,27,2,793,766,2
330,499,2,1082_3,0,330,2,829,499,2
329,502,2,1082_1,0,329,2,831,502,2
330,501,2,1082_2,0,330,2,831,501,2
101,734,2,192_1,0,101,2,835,734,2
293,599,2,1057_1,0,293,2,892,599,2
106,824,2,195_1,0,106,2,930,824,2
283,655,2,1049_1,0,283,2,938,655,2
106,850,2,197_1,0,106,2,956,850,2
512,456,2,1325_1,0,512,2,968,456,2
512,456,2,1325_2,0,512,2,968,456,2
642,363,2,1530_1,0,642,2,1005,363,2
706,312,2,1577_1,0,706,2,1018,312,2
760,273,2,1636_1,0,760,2,1033,273,2
741,306,2,1609_1,0,741,2,1047,306,2
831,226,2,1668_4,0,831,2,1057,226,2
832,227,2,1673_1,0,832,2,1059,227,2
832,228,2,1668_1,0,832,2,1060,228,2
832,228,2,1668_2,0,832,2,1060,228,2
832,228,2,1668_3,0,832,2,1060,228,2
832,228,2,1673_3,0,832,2,1060,228,2
833,227,2,1673_2,0,833,2,1060,227,2
833,227,2,1673_4,0,833,2,1060,227,2
642,420,2,1532_1,0,642,2,1062,420,2
126,944,2,404_1,0,126,2,1070,944,2
752,326,2,1622_1,0,752,2,1078,326,2
850,232,2,1695_1,0,850,2,1082,232,2
779,312,2,1647_1,0,779,2,1091,312,2
519,579,2,1331_1,0,519,2,1098,579,2
519,580,2,1331_2,0,519,2,1099,580,2
519,603,2,1333_1,0,519,2,1122,603,2
519,604,2,1328_1,0,519,2,1123,604,2
519,604,2,1333_2,0,519,2,1123,604,2
642,511,2,1535_1,0,642,2,1153,511,2
754,406,2,1624_1,0,754,2,1160,406,2
643,533,2,1538_2,0,643,2,1176,533,2
642,536,2,1538_1,0,642,2,1178,536,2
753,456,2,1627_1,0,753,2,1209,456,2
643,580,2,1540_1,0,643,2,1223,580,2
643,580,2,1540_2,0,643,2,1223,580,2
664,589,2,1547_1,0,664,2,1253,589,2
664,589,2,1547_2,0,664,2,1253,589,2
519,756,2,1336_1,0,519,2,1275,756,2
519,757,2,1336_2,0,519,2,1276,757,2
753,540,2,1630_1,0,753,2,1293,540,2
1060,379,2,1957_2,0,1060,2,1439,379,2
1060,380,2,1957_1,0,1060,2,1440,380,2
1060,381,2,1957_3,0,1060,2,1441,381,2
1063,380,2,1957_4,0,1063,2,1443,380,2
1063,380,2,1959_1,0,1063,2,1443,380,2
1063,380,2,1959_2,0,1063,2,1443,380,2
1063,380,2,1959_3,0,1063,2,1443,380,2
1064,379,2,1973_3,0,1064,2,1443,379,2
1066,380,2,1962_2,0,1066,2,1446,380,2
1066,380,2,1975_2,0,1066,2,1446,380,2
1067,379,2,1962_3,0,1067,2,1446,379,2
1067,379,2,1962_4,0,1067,2,1446,379,2
1067,380,2,1962_1,0,1067,2,1447,380,2
1068,379,2,1959_4,0,1068,2,1447,379,2
1068,379,2,1965_1,0,1068,2,1447,379,2
1068,379,2,1965_3,0,1068,2,1447,379,2
1068,379,2,1965_4,0,1068,2,1447,379,2
1068,379,2,1967_1,0,1068,2,1447,379,2
1068,379,2,1967_2,0,1068,2,1447,379,2
1068,379,2,1967_3,0,1068,2,1447,379,2
1068,380,2,1965_2,0,1068,2,1448,380,2
1068,380,2,1967_4,0,1068,2,1448,380,2
1068,380,2,1970_1,0,1068,2,1448,380,2
1070,380,2,1970_2,0,1070,2,1450,380,2
1070,380,2,1970_3,0,1070,2,1450,380,2
1070,380,2,1970_4,0,1070,2,1450,380,2
1070,380,2,1973_1,0,1070,2,1450,380,2
1070,380,2,1973_2,0,1070,2,1450,380,2
1070,380,2,1975_1,0,1070,2,1450,380,2
1070,380,2,1981_2,0,1070,2,1450,380,2
1070,380,2,1981_3,0,1070,2,1450,380,2
1071,380,2,1973_4,0,1071,2,1451,380,2
1071,380,2,1975_3,0,1071,2,1451,380,2
1071,380,2,1975_4,0,1071,2,1451,380,2
1071,380,2,1978_1,0,1071,2,1451,380,2
1071,380,2,1978_2,0,1071,2,1451,380,2
1071,380,2,1978_3,0,1071,2,1451,380,2
1071,380,2,1978_4,0,1071,2,1451,380,2
1071,380,2,1981_1,0,1071,2,1451,380,2
1071,380,2,1981_4,0,1071,2,1451,380,2
1072,379,2,1983_1,0,1072,2,1451,379,2
1072,379,2,1983_2,0,1072,2,1451,379,2
1072,379,2,1983_4,0,1072,2,1451,379,2
1072,380,2,1983_3,0,1072,2,1452,380,2
1072,380,2,1986_1,0,1072,2,1452,380,2
1072,380,2,1986_4,0,1072,2,1452,380,2
1073,379,2,1989_1,0,1073,2,1452,379,2
1073,379,2,1989_3,0,1073,2,1452,379,2
1073,379,2,1991_1,0,1073,2,1452,379,2
1073,379,2,1991_3,0,1073,2,1452,379,2
1073,379,2,1991_4,0,1073,2,1452,379,2
1073,380,2,1986_2,0,1073,2,1453,380,2
1073,380,2,1986_3,0,1073,2,1453,380,2
1073,381,2,1989_2,0,1073,2,1454,381,2
1073,381,2,1989_4,0,1073,2,1454,381,2
1073,381,2,1991_2,0,1073,2,1454,381,2
1335,237,2,2612_1,0,1335,2,1572,237,2
1346,235,2,2634_1,0,1346,2,1581,235,2
1199,383,2,2237_1,0,1199,2,1582,383,2
1384,203,2,2693_1,0,1384,2,1587,203,2
1391,197,2,2712_2,0,1391,2,1588,197,2
1394,194,2,2750_1,0,1394,2,1588,194,2
1396,194,2,2750_2,0,1396,2,1590,194,2
1382,209,2,2693_2,0,1382,2,1591,209,2
1392,202,2,2712_1,0,1392,2,1594,202,2
1426,188,2,2839_2,0,1426,2,1614,188,2
1427,189,2,2839_1,0,1427,2,1616,189,2
1220,397,2,2334_1,0,1220,2,1617,397,2
1399,239,2,2757_2,0,1399,2,1638,239,2
1399,244,2,2757_1,0,1399,2,1643,244,2
1401,255,2,2767_2,0,1401,2,1656,255,2
1401,256,2,2767_1,0,1401,2,1657,256,2
810,848,2,1660_1,0,810,2,1658,848,2
1424,251,2,2835_1,0,1424,2,1675,251,2
1422,257,2,2835_2,0,1422,2,1679,257,2
1385,299,2,2698_1,0,1385,2,1684,299,2
1385,302,2,2698_2,0,1385,2,1687,302,2
1392,298,2,2739_1,0,1392,2,1690,298,2
1392,298,2,2739_2,0,1392,2,1690,298,2
1272,431,2,2428_1,0,1272,2,1703,431,2
1401,313,2,2770_1,0,1401,2,1714,313,2
1402,314,2,2770_2,0,1402,2,1716,314,2
1414,310,2,2819_1,0,1414,2,1724,310,2
1524,209,2,2949_2,0,1524,2,1733,209,2
1402,332,2,2773_1,0,1402,2,1734,332,2
1523,212,2,2949_1,0,1523,2,1735,212,2
1404,332,2,2773_2,0,1404,2,1736,332,2
1438,328,2,2856_1,0,1438,2,1766,328,2
1420,353,2,2822_1,0,1420,2,1773,353,2
1443,337,2,2862_1,0,1443,2,1780,337,2
1459,332,2,2878_1,0,1459,2,1791,332,2
1420,377,2,2825_1,0,1420,2,1797,377,2
1597,217,2,3086_1,0,1597,2,1814,217,2
1427,395,2,2845_1,0,1427,2,1822,395,2
1613,210,2,3100_2,0,1613,2,1823,210,2
1620,203,2,3102_1,0,1620,2,1823,203,2
1621,202,2,3102_2,0,1621,2,1823,202,2
1624,199,2,3105_2,0,1624,2,1823,199,2
1613,211,2,3100_1,0,1613,2,1824,211,2
1224,601,2,2337_1,0,1224,2,1825,601,2
1624,201,2,3105_1,0,1624,2,1825,201,2
1575,257,2,3018_1,0,1575,2,1832,257,2
1568,268,2,2999_1,0,1568,2,1836,268,2
1643,196,2,3133_1,0,1643,2,1839,196,2
1644,197,2,3133_2,0,1644,2,1841,197,2
1420,430,2,2827_1,0,1420,2,1850,430,2
1286,566,2,2464_1,0,1286,2,1852,566,2
1562,296,2,2983_1,0,1562,2,1858,296,2
1224,635,2,2339_1,0,1224,2,1859,635,2
1634,234,2,3121_1,0,1634,2,1868,234,2
1634,235,2,3121_2,0,1634,2,1869,235,2
1521,349,2,2932_1,0,1521,2,1870,349,2
1666,207,2,3185_1,0,1666,2,1873,207,2
1672,210,2,3185_2,0,1672,2,1882,210,2
1667,218,2,3178_1,0,1667,2,1885,218,2
1668,228,2,3178_2,0,1668,2,1896,228,2
638,1260,2,1527_1,0,638,2,1898,1260,2
1579,323,2,3043_1,0,1579,2,1902,323,2
1567,339,2,3002_1,0,1567,2,1906,339,2
1499,415,2,2915_1,0,1499,2,1914,415,2
1670,253,2,3169_1,0,1670,2,1923,253,2
1568,359,2,2986_1,0,1568,2,1927,359,2
1572,357,2,3005_1,0,1572,2,1929,357,2
1575,358,2,3021_1,0,1575,2,1933,358,2
1678,256,2,3198_1,0,1678,2,1934,256,2
1679,256,2,3198_2,0,1679,2,1935,256,2
1572,369,2,3007_1,0,1572,2,1941,369,2
1496,446,2,2913_1,0,1496,2,1942,446,2
1705,239,2,3241_1,0,1705,2,1944,239,2
1705,239,2,3241_2,0,1705,2,1944,239,2
1576,380,2,3023_1,0,1576,2,1956,380,2
1428,532,2,2847_1,0,1428,2,1960,532,2
1569,402,2,3010_1,0,1569,2,1971,402,2
1443,532,2,2859_1,0,1443,2,1975,532,2
1420,559,2,2830_1,0,1420,2,1979,559,2
1576,406,2,3026_1,0,1576,2,1982,406,2
1568,415,2,2989_1,0,1568,2,1983,415,2
1573,411,2,3013_1,0,1573,2,1984,411,2
1702,283,2,3235_1,0,1702,2,1985,283,2
1703,283,2,3235_2,0,1703,2,1986,283,2
1690,297,2,3214_1,0,1690,2,1987,297,2
1690,297,2,3214_2,0,1690,2,1987,297,2
1723,274,2,3302_1,0,1723,2,1997,274,2
1567,440,2,2991_1,0,1567,2,2007,440,2
1573,451,2,3015_1,0,1573,2,2024,451,2
1433,600,2,2851_1,0,1433,2,2033,600,2
1798,239,2,3375_1,0,1798,2,2037,239,2
1783,263,2,3358_1,0,1783,2,2046,263,2
1593,469,2,3073_1,0,1593,2,2062,469,2
1619,449,2,3110_1,0,1619,2,2068,449,2
1570,506,2,2994_1,0,1570,2,2076,506,2
1844,243,2,3411_1,0,1844,2,2087,243,2
1910,192,2,3465_2,0,1910,2,2102,192,2
1910,198,2,3465_1,0,1910,2,2108,198,2
1936,183,2,3516_2,0,1936,2,2119,183,2
1936,185,2,3516_1,0,1936,2,2121,185,2
1823,312,2,3406_1,0,1823,2,2135,312,2
1522,618,2,2935_1,0,1522,2,2140,618,2
1783,359,2,3361_1,0,1783,2,2142,359,2
1942,203,2,3524_2,0,1942,2,2145,203,2
1793,354,2,3366_1,0,1793,2,2147,354,2
1960,187,2,3580_1,0,1960,2,2147,187,2
1960,187,2,3580_2,0,1960,2,2147,187,2
1945,203,2,3524_1,0,1945,2,2148,203,2
1966,206,2,3594_1,0,1966,2,2172,206,2
1966,206,2,3594_2,0,1966,2,2172,206,2
1916,258,2,3483_1,0,1916,2,2174,258,2
1916,259,2,3483_2,0,1916,2,2175,259,2
1965,218,2,3584_2,0,1965,2,2183,218,2
1956,231,2,3567_1,0,1956,2,2187,231,2
1956,231,2,3567_2,0,1956,2,2187,231,2
1965,222,2,3584_1,0,1965,2,2187,222,2
1951,240,2,3544_1,0,1951,2,2191,240,2
1951,240,2,3544_2,0,1951,2,2191,240,2
1802,397,2,3377_1,0,1802,2,2199,397,2
2010,197,2,3646_1,0,2010,2,2207,197,2
1913,297,2,3476_2,0,1913,2,2210,297,2
1913,298,2,3476_1,0,1913,2,2211,298,2
1984,228,2,3615_1,0,1984,2,2212,228,2
1910,309,2,3471_1,0,1910,2,2219,309,2
1910,309,2,3471_2,0,1910,2,2219,309,2
1523,705,2,2938_1,0,1523,2,2228,705,2
1966,277,2,3592_1,0,1966,2,2243,277,2
2020,225,2,3662_1,0,2020,2,2245,225,2
2054,208,2,3727_1,0,2054,2,2262,208,2
2001,262,2,3640_1,0,2001,2,2263,262,2
2012,252,2,3649_1,0,2012,2,2264,252,2
1517,750,2,2940_1,0,1517,2,2267,750,2
1905,362,2,3473_2,0,1905,2,2267,362,2
1911,360,2,3473_1,0,1911,2,2271,360,2
1966,305,2,3586_1,0,1966,2,2271,305,2
1499,798,2,2918_1,0,1499,2,2297,798,2
1954,343,2,3554_1,0,1954,2,2297,343,2
1793,509,2,3369_1,0,1793,2,2302,509,2
2038,265,2,3703_1,0,2038,2,2303,265,2
1960,345,2,3577_1,0,1960,2,2305,345,2
2084,224,2,3750_1,0,2084,2,2308,224,2
2084,224,2,3750_2,0,2084,2,2308,224,2
2118,190,2,3783_1,0,2118,2,2308,190,2
2116,206,2,3798_1,0,2116,2,2322,206,2
1966,357,2,3589_1,0,1966,2,2323,357,2
2140,186,2,3836_1,0,2140,2,2326,186,2
2118,209,2,3815_1,0,2118,2,2327,209,2
2116,213,2,3803_1,0,2116,2,2329,213,2
2116,215,2,3789_1,0,2116,2,2331,215,2
1791,542,2,3364_1,0,1791,2,2333,542,2
1815,531,2,3382_1,0,1815,2,2346,531,2
2135,211,2,3842_1,0,2135,2,2346,211,2
2160,192,2,3863_1,0,2160,2,2352,192,2
297,2056,2,1052_1,0,297,2,2353,2056,2
297,2056,2,1052_3,0,297,2,2353,2056,2
2142,211,2,3854_1,0,2142,2,2353,211,2
300,2060,2,1052_2,0,300,2,2360,2060,2
1523,842,2,2943_1,0,1523,2,2365,842,2
1955,411,2,3557_1,0,1955,2,2366,411,2
2161,215,2,3905_1,0,2161,2,2376,215,2
2076,303,2,3745_1,0,2076,2,2379,303,2
2184,198,2,3918_1,0,2184,2,2382,198,2
1815,582,2,3385_1,0,1815,2,2397,582,2
2038,366,2,3706_1,0,2038,2,2404,366,2
2038,378,2,3708_1,0,2038,2,2416,378,2
1955,471,2,3559_1,0,1955,2,2426,471,2
2050,396,2,3716_1,0,2050,2,2446,396,2
2190,256,2,3935_1,0,2190,2,2446,256,2
2190,256,2,3935_2,0,2190,2,2446,256,2
2213,236,2,3957_1,0,2213,2,2449,236,2
2235,215,2,3981_1,0,2235,2,2450,215,2
2166,290,2,3888_1,0,2166,2,2456,290,2
2136,326,2,3822_1,0,2136,2,2462,326,2
2076,393,2,3747_1,0,2076,2,2469,393,2
2096,377,2,3775_1,0,2096,2,2473,377,2
2167,307,2,3899_1,0,2167,2,2474,307,2
1815,661,2,3387_1,0,1815,2,2476,661,2
2050,438,2,3719_1,0,2050,2,2488,438,2
2201,287,2,3942_3,0,2201,2,2488,287,2
2206,288,2,3942_2,0,2206,2,2494,288,2
2041,455,2,3711_1,0,2041,2,2496,455,2
2205,293,2,3942_1,0,2205,2,2498,293,2
2245,256,2,4000_3,0,2245,2,2501,256,2
2244,258,2,4000_1,0,2244,2,2502,258,2
2245,261,2,4000_2,0,2245,2,2506,261,2
2310,198,2,4086_1,0,2310,2,2508,198,2
1815,709,2,3390_1,0,1815,2,2524,709,2
2202,327,2,3939_1,0,2202,2,2529,327,2
2310,223,2,4083_1,0,2310,2,2533,223,2
2333,215,2,4115_1,0,2333,2,2548,215,2
2048,502,2,3714_1,0,2048,2,2550,502,2
2374,198,2,4216_1,0,2374,2,2572,198,2
2229,344,2,3979_1,0,2229,2,2573,344,2
2213,362,2,3959_1,0,2213,2,2575,362,2
1521,1060,2,2930_1,0,1521,2,2581,1060,2
2393,191,2,4249_1,0,2393,2,2584,191,2
2378,208,2,4221_1,0,2378,2,2586,208,2
2407,186,2,4268_1,0,2407,2,2593,186,2
2374,224,2,4226_1,0,2374,2,2598,224,2
2395,207,2,4254_1,0,2395,2,2602,207,2
2230,375,2,3984_1,0,2230,2,2605,375,2
2409,201,2,4277_1,0,2409,2,2610,201,2
2045,566,2,3722_1,0,2045,2,2611,566,2
2339,274,2,4128_1,0,2339,2,2613,274,2
2394,222,2,4259_1,0,2394,2,2616,222,2
2053,566,2,3724_1,0,2053,2,2619,566,2
2224,396,2,3963_1,0,2224,2,2620,396,2
2272,354,2,4038_1,0,2272,2,2626,354,2
2167,465,2,3890_1,0,2167,2,2632,465,2
1815,819,2,3393_1,0,1815,2,2634,819,2
2450,184,2,4341_1,0,2450,2,2634,184,2
2450,184,2,4347_1,0,2450,2,2634,184,2
2428,208,2,4313_1,0,2428,2,2636,208,2
1817,829,2,3395_1,0,1817,2,2646,829,2
2457,195,2,4371_1,0,2457,2,2652,195,2
2344,309,2,4148_1,0,2344,2,2653,309,2
2450,206,2,4353_1,0,2450,2,2656,206,2
2461,201,2,4376_1,0,2461,2,2662,201,2
2462,205,2,4382_1,0,2462,2,2667,205,2
2001,670,2,3643_1,0,2001,2,2671,670,2
2335,339,2,4131_1,0,2335,2,2674,339,2
2483,191,2,4418_1,0,2483,2,2674,191,2
2345,331,2,4150_1,0,2345,2,2676,331,2
2331,346,2,4117_1,0,2331,2,2677,346,2
2335,344,2,4133_1,0,2335,2,2679,344,2
2326,354,2,4108_1,0,2326,2,2680,354,2
2326,364,2,4111_1,0,2326,2,2690,364,2
2492,205,2,4439_1,0,2492,2,2697,205,2
2139,560,2,3824_1,0,2139,2,2699,560,2
2511,195,2,4475_1,0,2511,2,2706,195,2
2335,381,2,4136_1,0,2335,2,2716,381,2
2230,491,2,3966_1,0,2230,2,2721,491,2
