timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
0,cloud50,20,20,0,1,480,480,0,8,1,0,0,0,0,0
1,cloud50,20,20,0,1,480,480,0,8,1,0,0,480,0,0
2,cloud50,20,20,0,1,480,480,0,8,1,0,0,960,0,0
3,cloud50,20,20,0,1,480,480,0,8,1,0,0,1440,0,0
4,cloud50,20,20,0,1,480,480,0,8,1,0,0,1920,0,0
5,cloud50,20,20,0,1,480,480,0,8,1,0,0,2400,0,0
6,cloud50,20,20,0,1,480,480,0,8,1,0,0,2880,0,0
7,cloud50,20,20,0,1,480,480,0,8,1,0,0,3360,0,0
8,cloud50,20,20,0,1,480,480,0,8,1,0,0,3840,0,0
9,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,4320,72.0,0
10,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,4800,80.0,0
11,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,5280,88.0,0
12,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,5760,96.0,0
13,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,6240,104.0,0
14,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,6720,112.0,0
15,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,7200,120.0,0
16,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,7680,128.0,0
17,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,8160,136.0,0
18,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,8640,144.0,0
19,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,9120,152.0,0
20,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,9600,160.0,0
21,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,10080,168.0,0
22,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,10560,176.0,0
23,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,11040,184.0,0
24,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,11520,192.0,0
25,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,12000,200.0,0
26,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,12480,208.0,0
27,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,12960,216.0,0
28,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,13440,224.0,0
29,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,13920,232.0,0
30,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,14400,240.0,0
31,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,14880,248.0,0
32,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,15360,256.0,0
33,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,15840,264.0,0
34,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,16320,272.0,0
35,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,16800,280.0,0
36,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,17280,288.0,0
37,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,17760,296.0,0
38,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,18240,304.0,0
39,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,18720,312.0,0
40,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,19200,320.0,0
41,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,19680,328.0,0
42,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,20160,336.0,0
43,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,20640,344.0,0
44,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,21120,352.0,0
45,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,21600,360.0,0
46,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,22080,368.0,0
47,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,22560,376.0,0
48,cloud50,20,20,1,0,480,480,8.0,0,0,1,0,23040,384.0,0
