original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,ram,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
617,6001.0,8.0,14.0,1.0,617,8.0,6618,6001,8.0
1225,6001.0,1.0,2.0,2.0,1225,1.0,7226,6001,1.0
1927,5545.0,4.0,7.0,22.0,1927,4.0,7472,5545,4.0
1935,5544.0,4.0,7.0,23.0,1935,4.0,7479,5544,4.0
1919,5593.0,1.0,2.0,20.0,1919,1.0,7512,5593,1.0
1904,5623.0,2.0,3.5,17.0,1904,2.0,7527,5623,2.0
1912,5616.0,1.0,2.0,19.0,1912,1.0,7528,5616,1.0
1897,5640.0,4.0,7.0,16.0,1897,4.0,7537,5640,4.0
1889,5665.0,1.0,2.0,14.0,1889,1.0,7554,5665,1.0
1874,5712.0,1.0,2.0,11.0,1874,1.0,7586,5712,1.0
1881,5707.0,8.0,14.0,13.0,1881,8.0,7588,5707,8.0
1866,5796.0,2.0,3.5,10.0,1866,2.0,7662,5796,2.0
1858,5820.0,2.0,3.5,8.0,1858,2.0,7678,5820,2.0
1850,5832.0,1.0,2.0,7.0,1850,1.0,7682,5832,1.0
2621,5101.0,4.0,7.0,40.0,2621,4.0,7722,5101,4.0
2629,5094.0,4.0,7.0,41.0,2629,4.0,7723,5094,4.0
2598,5131.0,1.0,2.0,35.0,2598,1.0,7729,5131,1.0
2606,5124.0,4.0,7.0,37.0,2606,4.0,7730,5124,4.0
2614,5118.0,8.0,14.0,38.0,2614,8.0,7732,5118,8.0
1842,5905.0,4.0,7.0,5.0,1842,4.0,7747,5905,4.0
1834,5922.0,1.0,2.0,4.0,1834,1.0,7756,5922,1.0
2590,5167.0,8.0,14.0,34.0,2590,8.0,7757,5167,8.0
2583,5182.0,1.0,2.0,32.0,2583,1.0,7765,5182,1.0
2575,5214.0,1.0,2.0,31.0,2575,1.0,7789,5214,1.0
2559,5305.0,2.0,3.5,28.0,2559,2.0,7864,5305,2.0
2567,5298.0,1.0,2.0,29.0,2567,1.0,7865,5298,1.0
2552,5350.0,2.0,3.5,26.0,2552,2.0,7902,5350,2.0
2544,5430.0,8.0,14.0,25.0,2544,8.0,7974,5430,8.0
3300,4987.0,2.0,3.5,55.0,3300,2.0,8287,4987,2.0
3284,5005.0,1.0,2.0,52.0,3284,1.0,8289,5005,1.0
3268,5023.0,1.0,2.0,49.0,3268,1.0,8291,5023,1.0
3261,5035.0,8.0,14.0,47.0,3261,8.0,8296,5035,8.0
3292,5005.0,2.0,3.5,53.0,3292,2.0,8297,5005,2.0
3276,5024.0,4.0,7.0,50.0,3276,4.0,8300,5024,4.0
3314,4987.0,8.0,14.0,56.0,3314,8.0,8301,4987,8.0
