timestamp,cluster,nodes_owned,nodes_cur_cap,nodes_inuse,nodes_indemand,cores_owned,cores_cur_cap,cores_inuse,cores_indemand,jobs_waiting,jobs_running,jobs_done,work_max,work_cur,work_done
0,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,0,0,0
1,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,1176,24,0
2,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,2352,48,0
3,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,3528,72,0
4,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,4704,96,0
5,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,5880,120,0
6,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,7056,144,0
7,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,8232,168,0
8,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,9408,192,0
9,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,10584,216,0
10,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,11760,240,0
11,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,12936,264,0
12,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,14112,288,0
13,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,15288,312,0
14,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,16464,336,0
15,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,17640,360,0
16,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,18816,384,0
17,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,19992,408,0
18,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,21168,432,0
19,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,22344,456,0
20,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,23520,480,0
21,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,24696,504,0
22,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,25872,528,0
23,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,27048,552,0
24,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,28224,576,0
25,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,29400,600,0
26,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,30576,624,0
27,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,31752,648,0
28,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,32928,672,0
29,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,34104,696,0
30,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,35280,720,0
31,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,36456,744,0
32,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,37632,768,0
33,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,38808,792,0
34,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,39984,816,0
35,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,41160,840,0
36,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,42336,864,0
37,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,43512,888,0
38,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,44688,912,0
39,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,45864,936,0
40,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,47040,960,0
41,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,48216,984,0
42,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,49392,1008,0
43,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,50568,1032,0
44,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,51744,1056,0
45,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,52920,1080,0
46,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,54096,1104,0
47,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,55272,1128,0
48,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,56448,1152,0
49,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,57624,1176,0
50,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,58800,1200,0
51,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,59976,1224,0
52,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,61152,1248,0
53,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,62328,1272,0
54,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,63504,1296,0
55,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,64680,1320,0
56,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,65856,1344,0
57,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,67032,1368,0
58,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,68208,1392,0
59,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,69384,1416,0
60,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,70560,1440,0
61,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,71736,1464,0
62,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,72912,1488,0
63,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,74088,1512,0
64,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,75264,1536,0
65,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,76440,1560,0
66,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,77616,1584,0
67,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,78792,1608,0
68,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,79968,1632,0
69,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,81144,1656,0
70,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,82320,1680,0
71,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,83496,1704,0
72,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,84672,1728,0
73,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,85848,1752,0
74,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,87024,1776,0
75,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,88200,1800,0
76,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,89376,1824,0
77,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,90552,1848,0
78,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,91728,1872,0
79,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,92904,1896,0
80,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,94080,1920,0
81,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,95256,1944,0
82,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,96432,1968,0
83,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,97608,1992,0
84,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,98784,2016,0
85,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,99960,2040,0
86,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,101136,2064,0
87,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,102312,2088,0
88,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,103488,2112,0
89,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,104664,2136,0
90,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,105840,2160,0
91,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,107016,2184,0
92,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,108192,2208,0
93,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,109368,2232,0
94,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,110544,2256,0
95,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,111720,2280,0
96,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,112896,2304,0
97,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,114072,2328,0
98,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,115248,2352,0
99,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,116424,2376,0
100,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,117600,2400,0
101,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,118776,2424,0
102,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,119952,2448,0
103,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,121128,2472,0
104,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,122304,2496,0
105,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,123480,2520,0
106,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,124656,2544,0
107,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,125832,2568,0
108,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,127008,2592,0
109,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,128184,2616,0
110,hpc_main,49,49,1,0,1176,1176,24,0,0,1,0,129360,2640,0
