original_trace_values,,,,,Simulation_recorded_values,,
start_time,lifespan,cores,jobid,sim_start_time,actual_cores_allocated,sim_end_time,sim_lifespan,actual_cores_released
635,269,6,78.0,0,635,6,904,269,6
613,321,6,76.0,0,613,6,934,321,6
624,310,6,77.0,0,624,6,934,310,6
667,267,6,80.0,0,667,6,934,267,6
677,257,6,81.0,0,677,6,934,257,6
688,246,6,82.0,0,688,6,934,246,6
709,255,6,84.0,0,709,6,964,255,6
719,245,6,85.0,0,719,6,964,245,6
751,267,6,88.0,0,934,6,1201,267,6
762,267,6,89.0,0,934,6,1201,267,6
794,267,6,92.0,0,934,6,1201,267,6
730,328,6,86.0,0,904,6,1232,328,6
773,327,6,90.0,0,934,6,1261,327,6
858,327,6,96.0,0,964,6,1291,327,6
804,387,6,93.0,0,934,6,1321,387,6
815,387,6,94.0,0,964,6,1351,387,6
869,267,3,97.0,0,1201,3,1468,267,3
881,267,2,98.0,0,1201,2,1468,267,2
901,267,1,100.0,0,1201,1,1468,267,1
923,267,1,102.0,0,1201,1,1468,267,1
912,387,1,101.0,0,1201,1,1588,387,1
1829,243,6,106.0,0,1829,6,2072,243,6
1807,266,6,104.0,0,1807,6,2073,266,6
1851,251,6,108.0,0,1851,6,2102,251,6
1863,269,6,109.0,0,1863,6,2132,269,6
1874,258,6,110.0,0,1874,6,2132,258,6
1819,314,6,105.0,0,1819,6,2133,314,6
1897,265,6,112.0,0,1897,6,2162,265,6
1910,253,6,113.0,0,1910,6,2163,253,6
1921,268,6,114.0,0,2072,6,2340,268,6
1943,268,6,116.0,0,2073,6,2341,268,6
1954,267,6,117.0,0,2102,6,2369,267,6
1999,267,6,121.0,0,2133,6,2400,267,6
2009,268,6,122.0,0,2162,6,2430,268,6
1988,327,6,120.0,0,2132,6,2459,327,6
2031,327,6,124.0,0,2163,6,2490,327,6
1965,387,6,118.0,0,2132,6,2519,387,6
2042,267,6,125.0,0,2340,6,2607,267,6
2076,267,1,128.0,0,2341,1,2608,267,1
2098,267,1,130.0,0,2341,1,2608,267,1
2054,328,3,126.0,0,2341,3,2669,328,3
2619,82,1,132.0,0,2619,1,2701,82,1
2628,73,1,133.0,0,2628,1,2701,73,1
2636,65,1,134.0,0,2636,1,2701,65,1
2086,447,1,129.0,0,2341,1,2788,447,1
2992,249,6,137.0,0,2992,6,3241,249,6
3004,267,6,138.0,0,3004,6,3271,267,6
3027,244,6,140.0,0,3027,6,3271,244,6
2981,320,6,136.0,0,2981,6,3301,320,6
3049,252,6,142.0,0,3049,6,3301,252,6
3071,260,6,144.0,0,3071,6,3331,260,6
3081,250,6,145.0,0,3081,6,3331,250,6
3038,323,6,141.0,0,3038,6,3361,323,6
3092,267,6,146.0,0,3241,6,3508,267,6
3114,267,6,148.0,0,3271,6,3538,267,6
3125,267,6,149.0,0,3271,6,3538,267,6
3170,268,6,152.0,0,3301,6,3569,268,6
3191,268,6,154.0,0,3331,6,3599,268,6
3136,328,6,150.0,0,3301,6,3629,328,6
3213,268,6,156.0,0,3361,6,3629,268,6
3181,388,6,153.0,0,3331,6,3719,388,6
3224,267,6,157.0,0,3508,6,3775,267,6
3256,267,1,160.0,0,3538,1,3805,267,1
3268,267,1,161.0,0,3538,1,3805,267,1
3279,267,1,162.0,0,3538,1,3805,267,1
3771,68,1,166.0,0,3771,1,3839,68,1
3751,89,1,164.0,0,3751,1,3840,89,1
3761,79,1,165.0,0,3761,1,3840,79,1
3235,507,3,158.0,0,3538,3,4045,507,3
4161,249,6,168.0,0,4161,6,4410,249,6
4172,268,6,169.0,0,4172,6,4440,268,6
4183,257,6,170.0,0,4183,6,4440,257,6
4216,253,6,173.0,0,4216,6,4469,253,6
4227,242,6,174.0,0,4227,6,4469,242,6
4249,250,6,176.0,0,4249,6,4499,250,6
4205,324,6,172.0,0,4205,6,4529,324,6
4260,269,6,177.0,0,4260,6,4529,269,6
4271,267,6,178.0,0,4410,6,4677,267,6
4292,267,6,180.0,0,4440,6,4707,267,6
4336,267,6,184.0,0,4469,6,4736,267,6
4347,267,6,185.0,0,4499,6,4766,267,6
4315,327,6,182.0,0,4469,6,4796,327,6
4358,267,6,186.0,0,4529,6,4796,267,6
4379,327,6,188.0,0,4529,6,4856,327,6
4304,447,6,181.0,0,4440,6,4887,447,6
4390,268,6,189.0,0,4677,6,4945,268,6
4401,268,6,190.0,0,4707,6,4975,268,6
4434,267,1,193.0,0,4736,1,5003,267,1
4445,267,1,194.0,0,4736,1,5003,267,1
4466,267,1,196.0,0,4736,1,5003,267,1
4423,388,2,192.0,0,4736,2,5124,388,2
5337,241,6,197.0,0,5337,6,5578,241,6
5348,261,6,198.0,0,5348,6,5609,261,6
5370,268,6,200.0,0,5370,6,5638,268,6
5380,258,6,201.0,0,5380,6,5638,258,6
5391,247,6,202.0,0,5391,6,5638,247,6
5421,247,6,205.0,0,5421,6,5668,247,6
5430,388,6,206.0,0,5430,6,5818,388,6
5449,268,6,208.0,0,5578,6,5846,268,6
5411,437,6,204.0,0,5411,6,5848,437,6
5458,268,6,209.0,0,5609,6,5877,268,6
5467,267,6,210.0,0,5638,6,5905,267,6
5486,267,6,212.0,0,5638,6,5905,267,6
5504,267,6,214.0,0,5668,6,5935,267,6
5495,328,6,213.0,0,5638,6,5966,328,6
5523,267,6,216.0,0,5818,6,6085,267,6
5533,267,6,217.0,0,5846,6,6113,267,6
5562,267,3,220.0,0,5877,3,6144,267,3
5571,267,2,221.0,0,5877,2,6144,267,2
5599,267,1,224.0,0,5905,1,6172,267,1
5609,267,1,225.0,0,5905,1,6172,267,1
5544,387,6,218.0,0,5848,6,6235,387,6
5581,447,1,222.0,0,5877,1,6324,447,1
6477,240,6,226.0,0,6477,6,6717,240,6
6496,252,6,228.0,0,6496,6,6748,252,6
6506,300,6,229.0,0,6506,6,6806,300,6
6552,254,6,234.0,0,6552,6,6806,254,6
6515,321,6,230.0,0,6515,6,6836,321,6
