timestamp,nodes_owned,nodes_cur_cap,nodes_in_use,nodes_indemand,jobs_waiting,jobs_running,jobs_completed,jobs_cancelled,jobs_failed
0,49,49,0,0,0,0,0,0,0
11,49,49,1,0,0,1,0,0,0
22,49,49,1,0,0,1,0,0,0
32,49,49,1,0,0,1,0,0,0
43,49,49,1,0,0,1,0,0,0
54,49,49,1,0,0,1,0,0,0
64,49,49,1,0,0,1,0,0,0
75,49,49,1,0,0,1,0,0,0
85,49,49,1,0,0,1,0,0,0
96,49,49,1,0,0,1,0,0,0
107,49,49,1,0,0,1,0,0,0
117,49,49,1,0,0,1,0,0,0
128,49,49,1,0,0,1,0,0,0
139,49,49,1,0,0,1,0,0,0
149,49,49,1,0,0,1,0,0,0
160,49,49,1,0,0,1,0,0,0
171,49,49,1,0,0,1,0,0,0
181,49,49,1,0,0,1,0,0,0
192,49,49,1,0,0,1,0,0,0
203,49,49,1,0,0,1,0,0,0
213,49,49,1,0,0,1,0,0,0
224,49,49,1,0,0,1,0,0,0
234,49,49,1,0,0,1,0,0,0
245,49,49,1,0,0,1,0,0,0
256,49,49,1,0,0,1,0,0,0
266,49,49,1,0,0,1,0,0,0
277,49,49,1,0,0,1,0,0,0
288,49,49,1,0,0,1,0,0,0
298,49,49,1,0,0,1,0,0,0
309,49,49,1,0,0,1,0,0,0
320,49,49,1,0,0,1,0,0,0
330,49,49,1,0,0,1,0,0,0
341,49,49,1,0,0,1,0,0,0
352,49,49,1,0,0,1,0,0,0
362,49,49,1,0,0,1,0,0,0
373,49,49,1,0,0,1,0,0,0
384,49,49,1,0,0,1,0,0,0
394,49,49,1,0,0,1,0,0,0
405,49,49,1,0,0,1,0,0,0
415,49,49,1,0,0,1,0,0,0
426,49,49,1,0,0,1,0,0,0
437,49,49,1,0,0,1,0,0,0
447,49,49,1,0,0,1,0,0,0
458,49,49,1,0,0,1,0,0,0
469,49,49,1,0,0,1,0,0,0
479,49,49,1,0,0,1,0,0,0
490,49,49,1,0,0,1,0,0,0
