start_time,lifespan,cores,job_id
7,198,1,27_1
7,198,1,27_2
10,490,1,47_1
10,490,1,47_2
14,427,1,49_1
14,427,1,49_2
19,302,1,53_1
19,302,1,53_2
19,330,1,56_1
19,330,1,56_2
19,299,1,58_1
19,299,1,58_2
19,317,1,61_1
19,317,1,61_2
20,347,1,64_1
20,422,1,66_1
20,584,1,69_1
20,748,1,72_1
20,765,1,74_1
22,181,1,77_1
22,181,1,77_2
22,282,1,93_1
22,282,1,93_2
22,353,1,98_1
22,353,1,98_2
22,446,1,101_1
22,446,1,101_2
22,547,1,103_1
22,547,1,103_2
52,254,1,160_1
80,5210,1,163_1
80,535,1,165_1
80,535,1,165_2
85,405,1,168_1
85,405,1,168_2
85,457,1,171_1
85,457,1,171_2
85,512,1,173_1
85,512,1,173_2
91,451,1,176_1
91,451,1,176_2
91,506,1,179_1
91,506,1,179_2
91,584,1,181_1
91,584,1,181_2
91,499,1,184_1
91,529,1,187_1
91,626,1,189_1
91,728,1,192_1
91,820,1,195_1
91,846,1,197_1
110,940,1,404_1
113,278,1,407_1
113,545,1,409_1
113,569,1,412_1
113,626,1,415_1
113,555,1,417_1
231,189,1,1009_1
231,189,1,1009_2
254,274,1,1031_1
254,274,1,1031_2
263,363,1,1046_1
263,649,1,1049_1
275,2053,1,1052_1
275,2053,1,1052_2
275,2053,1,1052_3
275,361,1,1054_1
275,361,1,1054_2
275,581,1,1057_1
300,420,1,1078_1
300,420,1,1078_2
304,498,1,1082_1
304,498,1,1082_2
304,498,1,1082_3
375,229,1,1207_1
375,229,1,1207_2
454,290,1,1267_1
454,290,1,1267_2
483,450,1,1325_1
483,450,1,1325_2
487,600,1,1328_1
487,576,1,1331_1
487,576,1,1331_2
487,600,1,1333_1
487,600,1,1333_2
487,753,1,1336_1
487,753,1,1336_2
496,188,1,1375_1
496,188,1,1375_2
603,1257,1,1527_1
607,358,1,1530_1
607,415,1,1532_1
607,505,1,1535_1
607,530,1,1538_1
607,530,1,1538_2
607,575,1,1540_1
607,575,1,1540_2
619,4893,1,1543_1
628,587,1,1547_1
628,587,1,1547_2
669,308,1,1577_1
704,305,1,1609_1
707,4476,1,1612_1
715,325,1,1622_1
715,402,1,1624_1
715,453,1,1627_1
715,536,1,1630_1
727,270,1,1636_1
732,570,1,1640_1
738,6452,1,1643_1
738,6452,1,1643_2
738,6452,1,1643_3
738,6452,1,1643_4
738,310,1,1647_1
760,2846,1,1655_1
768,844,1,1660_1
788,224,1,1668_1
788,224,1,1668_2
788,224,1,1668_3
788,224,1,1668_4
788,224,1,1673_1
788,224,1,1673_2
788,224,1,1673_3
788,224,1,1673_4
803,229,1,1695_1
1014,378,1,1957_1
1014,378,1,1957_2
1014,378,1,1957_3
1014,378,1,1957_4
1014,378,1,1959_1
1014,378,1,1959_2
1014,378,1,1959_3
1014,378,1,1959_4
1014,378,1,1962_1
1014,378,1,1962_2
1014,378,1,1962_3
1014,378,1,1962_4
1014,378,1,1965_1
1014,378,1,1965_2
