trace,arrival,lifespan,cores,ram,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,617,6001.0,8.0,14.0,1.0,sim,0,617,6618.0,6618,6001,cloud50_node_13
trace,1225,6001.0,1.0,2.0,2.0,sim,0,1225,7226.0,7226,6001,cloud50_node_13
trace,1927,5545.0,4.0,7.0,22.0,sim,0,1927,7472.0,7472,5545,cloud50_node_11
trace,1935,5544.0,4.0,7.0,23.0,sim,0,1935,7479.0,7479,5544,cloud50_node_11
trace,1919,5593.0,1.0,2.0,20.0,sim,0,1919,7512.0,7512,5593,cloud50_node_14
trace,1904,5623.0,2.0,3.5,17.0,sim,0,1904,7527.0,7527,5623,cloud50_node_14
trace,1912,5616.0,1.0,2.0,19.0,sim,0,1912,7528.0,7528,5616,cloud50_node_14
trace,1897,5640.0,4.0,7.0,16.0,sim,0,1897,7537.0,7537,5640,cloud50_node_14
trace,1889,5665.0,1.0,2.0,14.0,sim,0,1889,7554.0,7554,5665,cloud50_node_14
trace,1874,5712.0,1.0,2.0,11.0,sim,0,1874,7586.0,7586,5712,cloud50_node_13
trace,1881,5707.0,8.0,14.0,13.0,sim,0,1881,7588.0,7588,5707,cloud50_node_14
trace,1866,5796.0,2.0,3.5,10.0,sim,0,1866,7662.0,7662,5796,cloud50_node_14
trace,1858,5820.0,2.0,3.5,8.0,sim,0,1858,7678.0,7678,5820,cloud50_node_14
trace,1850,5832.0,1.0,2.0,7.0,sim,0,1850,7682.0,7682,5832,cloud50_node_13
trace,2621,5101.0,4.0,7.0,40.0,sim,0,2621,7722.0,7722,5101,cloud50_node_03
trace,2629,5094.0,4.0,7.0,41.0,sim,0,2629,7723.0,7723,5094,cloud50_node_01
trace,2598,5131.0,1.0,2.0,35.0,sim,0,2598,7729.0,7729,5131,cloud50_node_11
trace,2606,5124.0,4.0,7.0,37.0,sim,0,2606,7730.0,7730,5124,cloud50_node_03
trace,2614,5118.0,8.0,14.0,38.0,sim,0,2614,7732.0,7732,5118,cloud50_node_03
trace,1842,5905.0,4.0,7.0,5.0,sim,0,1842,7747.0,7747,5905,cloud50_node_13
trace,1834,5922.0,1.0,2.0,4.0,sim,0,1834,7756.0,7756,5922,cloud50_node_13
trace,2590,5167.0,8.0,14.0,34.0,sim,0,2590,7757.0,7757,5167,cloud50_node_03
trace,2583,5182.0,1.0,2.0,32.0,sim,0,2583,7765.0,7765,5182,cloud50_node_11
trace,2575,5214.0,1.0,2.0,31.0,sim,0,2575,7789.0,7789,5214,cloud50_node_11
trace,2559,5305.0,2.0,3.5,28.0,sim,0,2559,7864.0,7864,5305,cloud50_node_11
trace,2567,5298.0,1.0,2.0,29.0,sim,0,2567,7865.0,7865,5298,cloud50_node_14
trace,2552,5350.0,2.0,3.5,26.0,sim,0,2552,7902.0,7902,5350,cloud50_node_14
trace,2544,5430.0,8.0,14.0,25.0,sim,0,2544,7974.0,7974,5430,cloud50_node_11
trace,3300,4987.0,2.0,3.5,55.0,sim,0,3300,8287.0,8287,4987,cloud50_node_08
trace,3284,5005.0,1.0,2.0,52.0,sim,0,3284,8289.0,8289,5005,cloud50_node_01
trace,3268,5023.0,1.0,2.0,49.0,sim,0,3268,8291.0,8291,5023,cloud50_node_01
trace,3261,5035.0,8.0,14.0,47.0,sim,0,3261,8296.0,8296,5035,cloud50_node_01
trace,3292,5005.0,2.0,3.5,53.0,sim,0,3292,8297.0,8297,5005,cloud50_node_01
trace,3276,5024.0,4.0,7.0,50.0,sim,0,3276,8300.0,8300,5024,cloud50_node_08
trace,3314,4987.0,8.0,14.0,56.0,sim,0,3314,8301.0,8301,4987,cloud50_node_08
trace,3253,5059.0,2.0,3.5,46.0,sim,0,3253,8312.0,8312,5059,cloud50_node_11
trace,3245,5083.0,8.0,14.0,44.0,sim,0,3245,8328.0,8328,5083,cloud50_node_01
trace,3237,5095.0,1.0,2.0,43.0,sim,0,3237,8332.0,8332,5095,cloud50_node_11
trace,4001,4818.0,4.0,7.0,73.0,sim,0,4001,8819.0,8819,4818,cloud50_node_04
trace,4008,4813.0,2.0,3.5,74.0,sim,0,4008,8821.0,8821,4813,cloud50_node_04
trace,3993,4855.0,2.0,3.5,71.0,sim,0,3993,8848.0,8848,4855,cloud50_node_20
trace,3985,4867.0,1.0,2.0,70.0,sim,0,3985,8852.0,8852,4867,cloud50_node_20
trace,3978,4908.0,2.0,3.5,68.0,sim,0,3978,8886.0,8886,4908,cloud50_node_20
trace,3954,4933.0,1.0,2.0,64.0,sim,0,3954,8887.0,8887,4933,cloud50_node_20
trace,3931,4958.0,1.0,2.0,59.0,sim,0,3931,8889.0,8889,4958,cloud50_node_08
trace,3962,4927.0,8.0,14.0,65.0,sim,0,3962,8889.0,8889,4927,cloud50_node_20
trace,3939,4951.0,2.0,3.5,61.0,sim,0,3939,8890.0,8890,4951,cloud50_node_20
trace,3923,4969.0,8.0,14.0,58.0,sim,0,3923,8892.0,8892,4969,cloud50_node_08
trace,3970,4922.0,8.0,14.0,67.0,sim,0,3970,8892.0,8892,4922,cloud50_node_20
trace,3946,4952.0,1.0,2.0,62.0,sim,0,3946,8898.0,8898,4952,cloud50_node_08
trace,4718,4542.0,8.0,14.0,95.0,sim,0,4718,9260.0,9260,4542,cloud50_node_09
trace,4710,4560.0,1.0,2.0,94.0,sim,0,4710,9270.0,9270,4560,cloud50_node_17
trace,4702,4590.0,8.0,14.0,92.0,sim,0,4702,9292.0,9292,4590,cloud50_node_09
trace,4694,4626.0,8.0,14.0,91.0,sim,0,4694,9320.0,9320,4626,cloud50_node_17
trace,4679,4662.0,2.0,3.5,88.0,sim,0,4679,9341.0,9341,4662,cloud50_node_17
trace,4686,4657.0,2.0,3.5,89.0,sim,0,4686,9343.0,9343,4657,cloud50_node_17
trace,4671,4699.0,1.0,2.0,86.0,sim,0,4671,9370.0,9370,4699,cloud50_node_17
trace,4655,4723.0,1.0,2.0,83.0,sim,0,4655,9378.0,9378,4723,cloud50_node_04
trace,4663,4717.0,8.0,14.0,85.0,sim,0,4663,9380.0,9380,4717,cloud50_node_17
trace,4648,4734.0,1.0,2.0,82.0,sim,0,4648,9382.0,9382,4734,cloud50_node_04
trace,4632,4753.0,4.0,7.0,79.0,sim,0,4632,9385.0,9385,4753,cloud50_node_04
trace,4640,4751.0,2.0,3.5,80.0,sim,0,4640,9391.0,9391,4751,cloud50_node_04
trace,4617,4788.0,2.0,3.5,76.0,sim,0,4617,9405.0,9405,4788,cloud50_node_04
trace,4624,4789.0,8.0,14.0,77.0,sim,0,4624,9413.0,9413,4789,cloud50_node_04
trace,5413,4176.0,2.0,3.5,113.0,sim,0,5413,9589.0,9589,4176,cloud50_node_12
trace,5405,4201.0,1.0,2.0,112.0,sim,0,5405,9606.0,9606,4201,cloud50_node_12
trace,5397,4213.0,8.0,14.0,110.0,sim,0,5397,9610.0,9610,4213,cloud50_node_12
trace,5389,4255.0,4.0,7.0,109.0,sim,0,5389,9644.0,9644,4255,cloud50_node_12
trace,5381,4297.0,2.0,3.5,107.0,sim,0,5381,9678.0,9678,4297,cloud50_node_09
trace,5373,4327.0,2.0,3.5,106.0,sim,0,5373,9700.0,9700,4327,cloud50_node_09
trace,5365,4417.0,1.0,2.0,104.0,sim,0,5365,9782.0,9782,4417,cloud50_node_09
trace,5357,4427.0,1.0,2.0,103.0,sim,0,5357,9784.0,9784,4427,cloud50_node_09
trace,5350,4453.0,1.0,2.0,101.0,sim,0,5350,9803.0,9803,4453,cloud50_node_17
trace,5342,4470.0,8.0,14.0,100.0,sim,0,5342,9812.0,9812,4470,cloud50_node_12
trace,5334,4500.0,2.0,3.5,98.0,sim,0,5334,9834.0,9834,4500,cloud50_node_09
trace,5326,4524.0,1.0,2.0,97.0,sim,0,5326,9850.0,9850,4524,cloud50_node_17
trace,6118,3913.0,1.0,2.0,131.0,sim,0,6118,10031.0,10031,3913,cloud50_node_16
trace,6095,3942.0,1.0,2.0,127.0,sim,0,6095,10037.0,10037,3942,cloud50_node_18
trace,6110,3931.0,1.0,2.0,130.0,sim,0,6110,10041.0,10041,3931,cloud50_node_16
trace,6102,3943.0,8.0,14.0,128.0,sim,0,6102,10045.0,10045,3943,cloud50_node_18
trace,6086,3979.0,4.0,7.0,125.0,sim,0,6086,10065.0,10065,3979,cloud50_node_18
trace,6078,3997.0,1.0,2.0,124.0,sim,0,6078,10075.0,10075,3997,cloud50_node_18
trace,6070,4026.0,2.0,3.5,122.0,sim,0,6070,10096.0,10096,4026,cloud50_node_18
trace,6062,4050.0,1.0,2.0,121.0,sim,0,6062,10112.0,10112,4050,cloud50_node_18
trace,6041,4080.0,1.0,2.0,118.0,sim,0,6041,10121.0,10121,4080,cloud50_node_18
trace,6054,4069.0,4.0,7.0,119.0,sim,0,6054,10123.0,10123,4069,cloud50_node_18
trace,6033,4098.0,1.0,2.0,116.0,sim,0,6033,10131.0,10131,4098,cloud50_node_12
trace,6023,4111.0,2.0,3.5,115.0,sim,0,6023,10134.0,10134,4111,cloud50_node_18
trace,6841,3535.0,8.0,14.0,152.0,sim,0,6841,10376.0,10376,3535,cloud50_node_10
trace,6850,3529.0,1.0,2.0,154.0,sim,0,6850,10379.0,10379,3529,cloud50_node_16
trace,6833,3547.0,8.0,14.0,151.0,sim,0,6833,10380.0,10380,3547,cloud50_node_10
trace,6825,3559.0,8.0,14.0,149.0,sim,0,6825,10384.0,10384,3559,cloud50_node_19
trace,6818,3570.0,1.0,2.0,148.0,sim,0,6818,10388.0,10388,3570,cloud50_node_16
trace,6809,3595.0,8.0,14.0,146.0,sim,0,6809,10404.0,10404,3595,cloud50_node_19
trace,6802,3612.0,8.0,14.0,145.0,sim,0,6802,10414.0,10414,3612,cloud50_node_19
trace,6793,3649.0,8.0,14.0,143.0,sim,0,6793,10442.0,10442,3649,cloud50_node_16
trace,6785,3685.0,1.0,2.0,142.0,sim,0,6785,10470.0,10470,3685,cloud50_node_16
