trace,arrival,lifespan,cores,jobid,sim,reruns,sim_start,est_end,end,lived,nodenames
trace,635,269,6,78.0,sim,0,635,904,904,269,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,613,321,6,76.0,sim,0,613,934,934,321,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,624,310,6,77.0,sim,0,624,934,934,310,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,667,267,6,80.0,sim,0,667,934,934,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,677,257,6,81.0,sim,0,677,934,934,257,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,688,246,6,82.0,sim,0,688,934,934,246,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,709,255,6,84.0,sim,0,709,964,964,255,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,719,245,6,85.0,sim,0,719,964,964,245,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,751,267,6,88.0,sim,0,934,1201,1201,267,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,762,267,6,89.0,sim,0,934,1201,1201,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,794,267,6,92.0,sim,0,934,1201,1201,267,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,730,328,6,86.0,sim,0,904,1232,1232,328,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,773,327,6,90.0,sim,0,934,1261,1261,327,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,858,327,6,96.0,sim,0,964,1291,1291,327,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,804,387,6,93.0,sim,0,934,1321,1321,387,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,815,387,6,94.0,sim,0,964,1351,1351,387,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,869,267,3,97.0,sim,0,1201,1468,1468,267,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'']'
trace,881,267,2,98.0,sim,0,1201,1468,1468,267,'[''hpc_main_node_20'', ''hpc_main_node_29'']'
trace,901,267,1,100.0,sim,0,1201,1468,1468,267,'[''hpc_main_node_37'']'
trace,923,267,1,102.0,sim,0,1201,1468,1468,267,'[''hpc_main_node_47'']'
trace,912,387,1,101.0,sim,0,1201,1588,1588,387,'[''hpc_main_node_45'']'
trace,1829,243,6,106.0,sim,0,1829,2072,2072,243,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,1807,266,6,104.0,sim,0,1807,2073,2073,266,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,1851,251,6,108.0,sim,0,1851,2102,2102,251,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,1863,269,6,109.0,sim,0,1863,2132,2132,269,'[''hpc_main_node_32'', ''hpc_main_node_10'', ''hpc_main_node_49'', ''hpc_main_node_01'', ''hpc_main_node_34'', ''hpc_main_node_48'']'
trace,1874,258,6,110.0,sim,0,1874,2132,2132,258,'[''hpc_main_node_22'', ''hpc_main_node_25'', ''hpc_main_node_06'', ''hpc_main_node_12'', ''hpc_main_node_05'', ''hpc_main_node_14'']'
trace,1819,314,6,105.0,sim,0,1819,2133,2133,314,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
trace,1897,265,6,112.0,sim,0,1897,2162,2162,265,'[''hpc_main_node_36'', ''hpc_main_node_13'', ''hpc_main_node_46'', ''hpc_main_node_28'', ''hpc_main_node_43'', ''hpc_main_node_19'']'
trace,1910,253,6,113.0,sim,0,1910,2163,2163,253,'[''hpc_main_node_15'', ''hpc_main_node_40'', ''hpc_main_node_23'', ''hpc_main_node_16'', ''hpc_main_node_27'', ''hpc_main_node_41'']'
trace,1921,268,6,114.0,sim,0,2072,2340,2340,268,'[''hpc_main_node_26'', ''hpc_main_node_35'', ''hpc_main_node_08'', ''hpc_main_node_31'', ''hpc_main_node_42'', ''hpc_main_node_09'']'
trace,1943,268,6,116.0,sim,0,2073,2341,2341,268,'[''hpc_main_node_03'', ''hpc_main_node_11'', ''hpc_main_node_17'', ''hpc_main_node_20'', ''hpc_main_node_29'', ''hpc_main_node_37'']'
trace,1954,267,6,117.0,sim,0,2102,2369,2369,267,'[''hpc_main_node_38'', ''hpc_main_node_18'', ''hpc_main_node_33'', ''hpc_main_node_04'', ''hpc_main_node_30'', ''hpc_main_node_07'']'
trace,1999,267,6,121.0,sim,0,2133,2400,2400,267,'[''hpc_main_node_45'', ''hpc_main_node_47'', ''hpc_main_node_44'', ''hpc_main_node_39'', ''hpc_main_node_02'', ''hpc_main_node_21'']'
